"","lon","lat"
"883",-77.0368707,38.9071923
"884",-71.0475773,42.3381437
"885",-97.7430608,30.267153
"886",-149.4936733,64.2008413
"888",-105.7820674,39.5500507
"889",-73.9441579,40.6781784
"890",-81.0998342,32.0835407
"892",-51.92528,-14.235004
"893",10.7522454,59.9138688
"894",-88.7878678,43.7844397
"895",-97.7240495,30.4919176
"896",-4.2026458,56.4906712
"897",-96.7969879,32.7766642
"898",-0.448632,51.753241
"899",-87.6736467,41.9081103
"901",-95.3698028,29.7604267
"902",-1.1306544,37.9922399
"903",7.5407494,44.9334927
"904",-96.9083366,32.6518004
"905",-80.9620582,34.0426948
"907",2.3522219,48.856614
"909",120.8220827,18.5874677
"910",-5.580576,54.367727
"911",113.921327,-0.789275
"912",-118.281693,33.8316745
"913",-82.3878709,28.5552719
"914",-2.2973348,53.5910778
"916",-93.458109,37.613775
"917",-3.430838,56.394994
"919",45.079162,23.885942
"920",-52.7125768,47.5615096
"921",-112.0740373,33.4483771
"924",-77.0368707,38.9071923
"925",7.5885761,47.5595986
"926",116.419389,0.5386586
"929",-73.9202391,41.6002842
"931",-43.1728965,-22.9068467
"932",-70.9915997,42.4136428
"933",-95.4612625,30.1658207
"934",16.3883829,-21.5468249
"935",-84.3879824,33.7489954
"936",-74.0059413,40.7127837
"937",-95.3698028,29.7604267
"938",-120.7401386,47.7510741
"939",-73.9202391,41.6002842
"940",-79.0867579,43.8384117
"941",-84.4597071,33.9033344
"942",20.4397566,44.788241
"943",-51.92528,-14.235004
"945",-90.0715323,29.9510658
"946",-87.6297982,41.8781136
"947",-79.3831843,43.653226
"949",174.776236,-41.2864603
"950",113.921327,-0.789275
"951",-81.5157535,27.6648274
"952",-71.9674626,-13.53195
"953",-86.5804473,35.5174913
"955",-97.396381,27.8005828
"956",-82.3017728,30.3931168
"957",-95.712891,37.09024
"959",-89.3985283,32.3546679
"960",-83.7049498,42.7978061
"961",151.2092955,-33.8688197
"963",-1.308648,53.691688
"966",-1.61778,54.978252
"967",-96.1513627,32.3345888
"968",-43.9344931,-19.9166813
"969",-77.0368707,38.9071923
"970",-95.712891,37.09024
"973",-111.0937311,34.0489281
"974",-95.712891,37.09024
"975",-73.227626,44.3806065
"976",-77.0368707,38.9071923
"978",-122.2913078,37.8271784
"979",-118.2914872,33.9891116
"980",78.96288,20.593684
"981",-0.1277583,51.5073509
"982",-0.7594171,52.0406224
"983",46.199616,5.152149
"984",-94.0723226,46.2814568
"986",34.851612,31.046051
"987",-71.0588801,42.3600825
"988",-95.5669786,29.7242419
"990",76.5761714,33.778175
"991",121.774017,12.879721
"992",-120.5542012,43.8041334
"993",-112.4685025,34.5400242
"994",-55.9358581,-29.7445673
"995",-74.4056612,40.0583238
"999",-0.108544,51.368479
"1000",-73.9441579,40.6781784
"1001",-99.9018131,31.9685988
"1002",-97.1183568,32.8388656
"1003",-74.0045071,40.7283222
"1004",-97.5466702,30.5426995
"1005",-84.5538165,33.3023411
"1006",-104.990251,39.7392358
"1007",-97.6742533,30.3891701
"1009",-84.2988126,33.8920468
"1010",-106.346771,56.130366
"1011",-95.712891,37.09024
"1012",-73.087749,41.6032207
"1013",-86.9300023,35.751179
"1014",-84.3879824,33.7489954
"1015",153.1932534,-28.6104322
"1017",-58.3815591,-34.6036844
"1018",-43.1728965,-22.9068467
"1019",-95.4032821,29.9806421
"1020",-51.92528,-14.235004
"1021",-91.9623327,30.9842977
"1022",-89.3985283,40.6331249
"1024",-3.435973,55.378051
"1025",-73.597479,45.5595758
"1026",-5.9844589,37.3890924
"1027",92.9375739,26.2006043
"1028",-48.7791401,-22.3517806
"1029",144.9937739,-37.8491409
"1030",-87.6297982,41.8781136
"1032",-122.3320708,47.6062095
"1033",-74.1606613,40.6071081
"1035",-74.0059413,40.7127837
"1037",-99.1712821,19.4121597
"1038",-79.532157,43.8169837
"1039",-77.0368707,38.9071923
"1041",18.643501,60.128161
"1042",-121.8946761,36.6002378
"1043",-118.2436849,34.0522342
"1044",-95.712891,37.09024
"1046",-118.2436849,34.0522342
"1047",-87.6297982,41.8781136
"1050",-76.2710833,-12.2720956
"1051",-91.452588,44.869176
"1052",-86.1349019,40.2671941
